Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Festival de cinéma d'animation,Interrégionale,Bourgogne-Franche-Comté,Doubs,Pontarlier,25300,25462,242500338,CC du Grand Pontarlier,2,Rue,du Bastion,2 Rue du Bastion,Ciné-Club Jacques Becker,https://www.ccjb.fr/,cineclubjacquesbecker@orange.fr,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25462_5139,"46.9119730882, 6.38914602031",
Fête mondiale du conte,Régionale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,8,Rue,Contejean,8 Rue Contejean,,http://gakokoe.cluster007.ovh.net/fmc/,gakokoe@yahoo.fr,De 2000 à 2009,2006,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25388_3999,"47.5155169816, 6.79148147353",
Arts en chapelle,Intercommunale,Bourgogne-Franche-Comté,Doubs,Montperreux,25160,25405,200039709,CC du Serein,,,,,,https://www.artchapelles.com/manifestation_estivale,contact@artenchapelles.com,De 1990 à 1999,1992,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_25405_4123,"46.8204797871, 6.34452081973",
Faites moins d'bruit,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,6,Rue,de la Vieille Monnaie,6 Rue de la Vieille Monnaie,Le Scènacle,www.faitesmoinsdebruit.com,fmdb.adm@gmail.com,2010 et après,2017,Musique,,Musiques acoustiques,08- Musiques (sans distinction esthétique),,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_761,"47.2553872249, 6.01948696494",4508
Keep The Faith Weekender,Interrégionale,Bourgogne-Franche-Comté,Doubs,Audincourt,25400,25031,200065647,CA Pays de Montbéliard Agglomération,21,Rue,de Seloncourt,21 Rue de Seloncourt,Le Moloco,http://www.lemoloco.com/keep-the-faith-weekender/,direction@lemoloco.com,2010 et après,2015,Musique,,,02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_25031_450,"47.4811676376, 6.85493983157",2963
Ciné Open de Pontarlier,,Bourgogne-Franche-Comté,Doubs,Pontarlier,25300,25462,247100589,CA Le Grand Chalon,4,Rue,De la Halle,4 Rue De la Halle,Théâtre Bernard Blier,www.ccjb.fr,cineclubjacquesbecker@orange.fr,De 1980 à 1989,,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Après-saison (6 septembre - 31 décembre),,FEST_25462_5137,"46.9119730882, 6.38914602031",
Les Angivrades,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Angirey,70700,70022,247000698,CC des Monts de Gy,,Rue,du Dr Maréchal,Rue du Dr Maréchal,Association A Tous bouts d'champs,facebook.com/festivallesangivrades,,De 2000 à 2009,2007,Spectacle vivant,Arts du cirque,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_70022_226,"47.4548843773, 5.77329895236",
Rolling Saône,,Bourgogne-Franche-Comté,Haute-Saône,Gray,70100,70279,200036549,CC Val de Gray,7,Rue,Sauzay,7 Rue Sauzay,,www.rolling-saone.com,rolling.saone@orange.fr,De 1980 à 1989,1987,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musiques électroniques, techno, Pop, rock, RnB, Variétés internationales",07- Musiques actuelles sans distinction,,,,Avant-saison (1er janvier - 20 juin),,FEST_70279_2448,"47.4320889937, 5.61070658545",830
Les Franches Conteries,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Lure,70200,70310,247000664,CC du Pays de Lure,29,Rue,Albert Mathiez,29 Rue Albert Mathiez,Centre culturel François Mitterrand,franches-conteries70.blogspot.com,auditorium@mairie-lure.fr,De 2000 à 2009,2006,Spectacle vivant,Arts du conte,,,,,,Saison (21 juin - 5 septembre),,FEST_70310_3495,"47.6851664568, 6.49651910322",
Music'en Brousse,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Jussey,70500,70292,200036150,CC des Hauts du Val de Saône,,,,,,music-en-brousse.fr,,De 1990 à 1999,1999,Musique,,"Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_70292_2691,"47.8171454049, 5.88977076116",
Le rendez-vous musique classique,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Saint-Barthélemy,70270,70459,247000854,CC des 1000 étangs,,,,,Mairie,http://lesrendezvous.org/,lesrendezvous70@gmail.com,2010 et après,2012,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_70459_5667,"47.7410393174, 6.60409347666",
Festival international de folklore à Port-sur-Saône,Transfrontalière,Bourgogne-Franche-Comté,Haute-Saône,Port-sur-Saône,70170,70421,200041879,CC Terres de Saône,,,,,,http://www.festivalportsursaone.com,jeanpascalmariot@gmail.com,De 1990 à 1999,1990,Musique,,,04- Musiques traditionnelles et du monde,,,,Saison (21 juin - 5 septembre),,FEST_70421_5199,"47.692500452, 6.03302774909",3235
Spectacles du monde,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Port-sur-Saône,70170,70421,200041879,CC Terres de Saône,53,Rue,Jean Boge,53 Rue Jean Boge,,www.festivalportsursaone.com,naaklin70@gmail.com,De 1980 à 1989,1989,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_70421_5200,"47.692500452, 6.03302774909",
Opéra Promenade,Interrégionale,Bourgogne-Franche-Comté,Haute-Saône,Vesoul,70000,70550,247000011,CA de Vesoul,2,Impasse,Fleurier,2 Impasse Fleurier,Ensemble Justiniana,justiniana.com,infor@justiniana.com,De 1980 à 1989,1982,Musique,,Opéra,,,,,Saison (21 juin - 5 septembre),,FEST_70550_7022,"47.6320408648, 6.1548458149",
Ciném’action - Rencontre avec les réalisateurs,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Lure,70200,70310,242100410,Dijon Métropole,,Esplanade,Charles de Gaulle,Esplanade Charles de Gaulle,,http://cinemaction.eklablog.fr/13e-rencontre-p1250948,association.cinemaction@gmail.com,De 2000 à 2009,2005,"Cinéma, audiovisuel",,,,Court métrage,,,Après-saison (6 septembre - 31 décembre),,FEST_70310_3494,"47.6851664568, 6.49651910322",
Musique et Mémoire,Régionale,Bourgogne-Franche-Comté,Haute-Saône,Faucogney-et-la-Mer,70310,70227,247000854,CC des 1000 étangs,7,Rue,grande,7 Rue grande,,https://musetmemoire.com/,fcreux@musetmemoire.com,De 1990 à 1999,1994,Musique,,Musique baroque,,,,,Saison (21 juin - 5 septembre),,FEST_70227_2190,"47.8319641353, 6.5834328372",
La Fête de Fondremand,,Bourgogne-Franche-Comté,Haute-Saône,Fondremand,70190,70239,247000706,CC du Pays Riolais,,,Grande rue,Grande rue,,https://www.facebook.com/Comite.des.fetes.de.Fondremand,cdf.fondremand@gmail.com,Avant 1980,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_70239_2248,"47.4719327079, 6.02806238503",
Musique aux 4 horizons,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Ronchamp,70250,70451,247000821,CC Rahin et Chérimont,13,Rue,de la Chapelle,13 Rue de la Chapelle,Colline Notre-Dame du Haut,musiqueaux4horizons.com,musiqueaux4horizons@gmail.com,2010 et après,2013,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_70451_5489,"47.7159736796, 6.63465984032",
Art & Patrimoine,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Luxeuil-les-Bains,70300,70311,200067114,CA de l'Auxerrois,10,Place,de la Baille,10 Place de la Baille,,www.festival-art-luxeuil.com,artdanslarue70300@gmail.com,De 1980 à 1989,1986,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_70311_3501,"47.823919724, 6.36363973342",
Zébuli salon de illustration et BD jeunesse,,Bourgogne-Franche-Comté,Haute-Saône,Luxeuil-les-Bains,70300,70311,247000755,CC du Pays de Luxeuil,1,Place,Saint-Pierre,1 Place Saint-Pierre,Espace Frichet,Page facebook,L3lassociation@gmail.com,2010 et après,2019,"Livre, littérature",,,,,,"Bande dessinée, comics, manga, Albums et illustratilns jeunesse",Après-saison (6 septembre - 31 décembre),,FEST_70311_3504,"47.823919724, 6.36363973342",
Festival du Cirque,,Bourgogne-Franche-Comté,Haute-Saône,Échenans-sous-Mont-Vaudois,70400,70206,247000722,CC du Pays d'Héricourt,3,Rue,des Etoiles,3 Rue des Etoiles,,www.odysseeducirque.info,contact@odysseeducirque.fr,De 2000 à 2009,2000,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_70206_2078,"47.6045802669, 6.76783910472",
Au Gray des mots,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Arc-lès-Gray,70100,70026,200070530,CC du Grand Autunois Morvan,12 bis,Rue,Louis Chauveau,12 bis Rue Louis Chauveau,Espace Festi'Val,gray.fr,mairie@ville-gray.fr,2010 et après,2015,"Livre, littérature",,,,,,"Bande-dessinée, comics, manga",Après-saison (6 septembre - 31 décembre),,FEST_70026_317,"47.4628603881, 5.58172003346",
Les Pluralies de Luxeuil-les-Bains,Interrégionale,Bourgogne-Franche-Comté,Haute-Saône,Luxeuil-les-Bains,70300,70311,247000755,CC du Pays de Luxeuil,17,Rue,Victor-Genoux,17 Rue Victor-Genoux,,www..pluralies.net,jackycastang3@yahoo.fr,De 2000 à 2009,2002,Musique,,Chanson ou variété française,09- Pluridisciplinaire,,,,Saison (21 juin - 5 septembre),,FEST_70311_3503,"47.823919724, 6.36363973342",40
Rock au château,,Bourgogne-Franche-Comté,Haute-Saône,Villersexel,70110,70561,247000714,CC du Pays de Villersexel,,Place,Place de la Mairie,Place Place de la Mairie,,rockauchateau.fr,rockauchateau70@gmail.com,2010 et après,2015,Musique,,rock et rock progressif,,,,,Saison (21 juin - 5 septembre),,FEST_70561_7127,"47.559065822, 6.42909523129",
Voix d'enfants / Espace scénique,Interrégionale,Bourgogne-Franche-Comté,Haute-Saône,Vesoul,70000,70550,247000011,CA de Vesoul,,Place,Pierre Renet,Place Pierre Renet,Théâtre Edwige Feuillère,https://www.theatre-edwige-feuillere.fr/,contact@theatre-edwige-feuillere.fr,De 2000 à 2009,2012,Spectacle vivant,Autres (voix d'enfants),,,,,,Avant-saison (1er janvier - 20 juin),,FEST_70550_7023,"47.6320408648, 6.1548458149",
Lac en Zik,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Vaivre-et-Montoille,70000,70513,247000011,CA de Vesoul,,Rue,de la Prairie,Rue de la Prairie,Salle polyvalente (gymnase),lacenzik.wix.com/lacenzik,lacenzik@gmail.com,De 2000 à 2009,2007,Musique,,"Pop, rock",,,,,Avant-saison (1er janvier - 20 juin),,FEST_70513_6853,"47.633860629, 6.10644479493",
Festival de l'Ours,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Plancher-les-Mines,70290,70414,247000821,CC Rahin et Chérimont,10 bis,Quartier,de Saint-Antoine,10 bis Quartier de Saint-Antoine,Scierie Saint-Antoine,festivaldelours.fr,,2010 et après,2013,Musique,,"Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_70414_5040,"47.7857364865, 6.77321577931",
Les Musicales de Clairegoutte et du Rahin & Chérimont,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Clairegoutte,70200,70157,247000821,CC Rahin et Chérimont,1,Place,Iselin,1 Place Iselin,,musicasppec-clairegoutte.fr,asppec.clairegoutte@gmail.com,De 1990 à 1999,,Musique,,"Jazz, blues, Musique classique",,,,,Avant-saison (1er janvier - 20 juin),,FEST_70157_1646,"47.6628053162, 6.63860014681",
Street Art au pied des murs,,Bourgogne-Franche-Comté,Haute-Saône,Lure,70200,70310,247000664,CC du Pays de Lure,,,,,,,,2010 et après,2016,"Arts visuels, arts numériques",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_70310_3496,"47.6851664568, 6.49651910322",
Colomb'in Rock Festival,,Bourgogne-Franche-Comté,Haute-Saône,Colombe-lès-Vesoul,70000,70162,200040293,CC du Clunisois,1,Rue,stade,1 Rue stade,8 rue de la fillette,www.colombin-rock.fr,emmanuel.caillet@gmail.com,2010 et après,2010,Musique,,"Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_70162_1751,"47.6121777534, 6.22089003773",
Scey sur scène,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Scey-sur-Saône-et-Saint-Albin,70360,70482,247000367,CC des Combes,,Route,de Saint-Albin,Route de Saint-Albin,Salle des fêtes,,,De 2000 à 2009,2000,Spectacle vivant,Théâtre,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_70482_6293,"47.6798278841, 5.96387998278",
Festival en Arc,,Bourgogne-Franche-Comté,Haute-Saône,Arc-lès-Gray,70100,70026,200036549,CC Val de Gray,,Rue,Louis Chauveau,Rue Louis Chauveau,Halle Perrey,www.festivalenarc.fr,contact@festivalenarc.fr,2010 et après,2011,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_70026_318,"47.4628603881, 5.58172003346",
Festival International des cinémas d'Asie de Vesoul,,Bourgogne-Franche-Comté,Haute-Saône,Vesoul,70000,70550,247000011,CA de Vesoul,25,Rue,du docteur Doillon,25 Rue du docteur Doillon,,www.cinemas-asie.com,festival.vesoul@wanadoo.fr,De 1990 à 1999,1995,"Cinéma, audiovisuel",,,,"Documentaire, Fiction long métrage, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_70550_7020,"47.6320408648, 6.1548458149",
Festival de musique de chambre,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,,,,Prieuré,ensembletetraktys.com,,De 2000 à 2009,2007,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_71270_3598,"46.3205511756, 4.81842529639",
Voix:là,Régionale,Bourgogne-Franche-Comté,Haute-Saône,Gray,70100,70279,200036549,CC Val de Gray,30,Rue,Victor-Hugo,30 Rue Victor-Hugo,,www.festival-voixla.fr,voixfestival@orange.fr,2010 et après,2012,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique, Musique contemporaine, Musiques du monde, Voix lyrique",,,,,Après-saison (6 septembre - 31 décembre),,FEST_70279_2449,"47.4320889937, 5.61070658545",
Festival Jacques Brel,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Vesoul,70000,70550,247000011,CA de Vesoul,,Place,Pierre Renet,Place Pierre Renet,,https://www.theatre-edwige-feuillere.fr/,communication@theatre-edwige-feuillere.fr,De 2000 à 2009,,Musique,,Chanson ou variété française,01- Chanson,,,,Après-saison (6 septembre - 31 décembre),,FEST_70550_7021,"47.6320408648, 6.1548458149",42
L'Art dans la Rue,Transfrontalière,Bourgogne-Franche-Comté,Haute-Saône,Luxeuil-les-Bains,70300,70311,247000755,CC du Pays de Luxeuil,10,Rue,de la Baille,10 Rue de la Baille,,festival-art-luxeuil.com,contact@festival-art-luxeuil.com,De 1980 à 1989,1986,"Arts visuels, arts numériques",,,,,Autres (artisans d'art),,Saison (21 juin - 5 septembre),,FEST_70311_3502,"47.823919724, 6.36363973342",
Les estivales de Saône,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Scey-sur-Saône-et-Saint-Albin,70360,70482,247000367,CC des Combes,,Zone artisanale,,Zone artisanale,L’Ecu,www.echosystem70.fr,contact@echosystem70.fr,De 1990 à 1999,1997,Musique,,"Chanson ou variété française, Musiques du monde, Pop, rock",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_70482_6292,"47.6798278841, 5.96387998278",166
Festival des mots,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Faucogney-et-la-Mer,70310,70227,247000854,CC des 1000 étangs,13,Rue,de Molland,13 Rue de Molland,,y en a pas,enviesdici70@gmail.com,2010 et après,2017,"Livre, littérature",,,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Polar",Après-saison (6 septembre - 31 décembre),,FEST_70227_2189,"47.8319641353, 6.5834328372",
Festi'folies,,Bourgogne-Franche-Comté,Haute-Saône,Gray,70100,70279,200036549,CC Val de Gray,30,Rue,Victor Hugo,30 Rue Victor Hugo,,www.gray.fr,animation@ville-gray.fr,2010 et après,2014,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_70279_2447,"47.4320889937, 5.61070658545",
Rockalissimo,,Bourgogne-Franche-Comté,Jura,Saint-Aubin,39410,39476,200010650,CA du Grand Dole,1,Rue,de la Goulotte,1 Rue de la Goulotte,Site du Patrimoine,https://www.rockalissimo.com,daubigney.clement@gmail.com,De 2000 à 2009,2004,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Musiques électroniques, techno, Pop, rock",02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_39476_5659,"47.0326920185, 5.33365017851",2677
Cœur de tango festival,Intercommunale,Bourgogne-Franche-Comté,Jura,Arbois,39600,39013,248900334,CA du Grand Sénonais,,Place,Notre Dame,Place Notre Dame,1 Place Notre Dame,https://www.festivaltangoarbois.com/bienvenue,toquedetango@gmail.com,2010 et après,2017,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_39013_306,"46.8941749828, 5.77318253275",
Couleurs jazz festival,,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),135,Place,du Maréchal Juin,135 Place du Maréchal Juin,"135, place du Maréchal Juin",https://leboeufsurletoit.fr/,contact.leboeufsurletoit@orange.fr,2010 et après,2012,Musique,,"Jazz, blues",,,,,Saison (21 juin - 5 septembre),,FEST_39300_3431,"46.6744796278, 5.55733212947",
Théâtre sur un plateau,intercommunale,Bourgogne-Franche-Comté,Jura,Saint-Amour,39160,39475,200072056,CC Porte du Jura,,,,,,http://www.theatresurunplateau.fr/le-festival.html,contact@theatresurunplateau.fr,2010 et après,2017,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_39475_5641,"46.4375471402, 5.33561825227",
Azimut Festival,,Bourgogne-Franche-Comté,Jura,La Pesse,39370,39413,200067114,CA de l'Auxerrois,,Rue,Le Village,Rue Le Village,,https://www.azimutfestival.com/,usclapesse@gmail.com,De 1980 à 1989,,Musique,,"Jazz, blues, Musiques du monde",07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_39413_2803,"46.286468541, 5.85238812673",586
Les semeurs du val d'amour,intercommunale,Bourgogne-Franche-Comté,Jura,Chamblay,39380,39093,243900420,CC du Val d'Amour,74,Rue,Grande,74 Rue Grande,Communauté de communes du Val d'amour,www.lessemeursduvaldamour.fr,,De 2000 à 2009,2000,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_39093_1436,"46.9910483853, 5.70335674232",
Noël au pays du jouet,intercommunale,Bourgogne-Franche-Comté,Jura,Moirans-en-Montagne,39260,39333,200090579,CC Terre d'Émeraude Communauté,87,Avenue,de Saint Claude,87 Avenue de Saint Claude,,https://www.jurasud.net/noel-au-pays-du-jouet.htm,,De 2000 à 2009,2006,Spectacle vivant,Arts de la rue,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39333_3944,"46.4388080084, 5.73795329823",
Cirque & Fanfares,Communale,Bourgogne-Franche-Comté,Jura,Dole,39100,39198,200071017,CC des Terres d'Auxois,1,Place,de l'Europe,1 Place de l'Europe,,https://www.cirqueetfanfaresadole.com/,d.gueniat@dole.org // lucile.gaillard@grand-dole.fr,2010 et après,2011,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_39198_2021,"47.0755452538, 5.50062446099",
Barath'lons,,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,242500361,CU Grand Besançon Métropole,1,Place,De la liberté,1 Place De la liberté,,Http://facebook.com/novatarecords,Novata.records@gmail.com,2010 et après,2018,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Pop, rock, RnB",,,,,Avant-saison (1er janvier - 20 juin),,FEST_39300_3430,"46.6744796278, 5.55733212947",
Frontenay Jazz Festival,,Bourgogne-Franche-Comté,Jura,Frontenay,39210,39244,200069615,CC Bresse Haute Seille,375,Chemin,du château,375 Chemin  du château,,www.frontenayjazz.fr,hello@frontenayjazz.fr,De 2000 à 2009,2007,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_39244_2327,"46.7884051607, 5.63215279855",2458
Les rendez-vous de l'aventure,Régionale,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),4,Rue,Jean-Jaurès,4 Rue Jean-Jaurès,,www.rdv-aventure.fr,contact@rdv-aventure.fr,2010 et après,2016,"Cinéma, audiovisuel",,,,Documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_39300_3435,"46.6744796278, 5.55733212947",
Salon de la BD Texte et Bulle,,Bourgogne-Franche-Comté,Jura,Damparis,39500,39189,200010650,CA du Grand Dole,,Place,du 1er Mai,Place du 1er Mai,Gymnase Auhuste Delaune,https://www.ville-damparis.fr/,comptabilite@ville-damparis.fr,De 1990 à 1999,1998,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_39189_1919,"47.0709486148, 5.40719104716",
Musiques en Haut//Estivales des Orgues,Départementale,Bourgogne-Franche-Comté,Jura,Hauts de Bienne,39400,39368,243900479,CC du Haut-Jura - ARCADE,114,Place,jean jaurès,114 Place jean jaurès,,estivales-des-orgues.fr,orgueshautjura@gmail.com,De 1990 à 1999,1997,Musique,,"Jazz, blues, Musique classique, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_39368_2548,"46.5258425381, 6.03328656487",
Festival Dé-LIRE en Revermont (Lire au cœur du Jura),Régionale,Bourgogne-Franche-Comté,Jura,Arbois,39600,39013,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",,,,,,https://delireenrevermont.jimdofree.com,lireaucoeurdujura@lilo.org,2010 et après,2018,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_39013_307,"46.8941749828, 5.77318253275",
Salins sur scènes,,Bourgogne-Franche-Comté,Jura,Salins-les-Bains,39110,39500,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",2,Place,des Salines,2 Place des Salines,,lesurbaindigenes.com/festival-salins-sur-scenes/,baptiste.faivre@gmail.com,2010 et après,2016,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39500_6198,"46.9478351925, 5.89762240995",
Festival de Bouche à Oreille,Intercommunale,Bourgogne-Franche-Comté,Jura,Orgelet,39270,39397,200090579,CC Terre d'Émeraude Communauté,5,Rue,De l'Eglise,5 Rue De l'Eglise,,https://www.festival-jura.com/,contact@adapemont.fr,De 1980 à 1989,1989,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique, Musique contemporaine, Musiques du monde, Pop, rock, Variétés internationales",,,,,Saison (21 juin - 5 septembre),,FEST_39397_4532,"46.5063359095, 5.62225313092",
Festival du film d’amour de Saint-Amour,Intercommunale,Bourgogne-Franche-Comté,Jura,Saint-Amour,39160,39475,200072056,CC Porte du Jura,,Place,de la Chevalerie,Place de la Chevalerie,,https://www.facebook.com/Festivaldufilmdamour,urfol.ecran.mobile@orange.fr,De 2000 à 2009,2000,"Cinéma, audiovisuel",,,,Fiction long métrage,,,Avant-saison (1er janvier - 20 juin),,FEST_39475_5639,"46.4375471402, 5.33561825227",
Les Insolites de Morez,Intercommunale,Bourgogne-Franche-Comté,Jura,Hauts de Bienne,39400,39368,243900479,CC du Haut-Jura - ARCADE,110,Rue,de la république,110 Rue de la république,,https://www.jura-tourism.com/evenements/evenements-culturels/les-insolites-de-morez/,,2010 et après,2019,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39368_2547,"46.5258425381, 6.03328656487",
Hors cadres,intercommunale,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),,,,,,pas de site internet,,2010 et après,2018,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39300_3432,"46.6744796278, 5.55733212947",
Festival Les Murmures du Val,,Bourgogne-Franche-Comté,Jura,Foncine-le-Haut,39460,39228,200069623,CC Champagnole Nozeroy Jura,59,Rue,Grande,59 Rue Grande,,https://lesmurmuresduval.wixsite.com/lesmurmuresduval,lesmurmuresduval@gmail.com,2010 et après,2016,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Pop, rock, Variétés internationales",,,,,Après-saison (6 septembre - 31 décembre),,FEST_39228_2246,"46.6590550612, 6.06154968382",
Les nuits du 4 août,Intercommunale,Bourgogne-Franche-Comté,Jura,La Chailleuse,39270,39021,200090579,CC Terre d'Émeraude Communauté,1,Rue,grande,1 Rue grande,,www.deflagration.fr,deflagration39@gmail.com,2010 et après,2011,Musique,,"Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_39021_2721,"46.5722801296, 5.52869424012",
Festival d’encre et de papier,,Bourgogne-Franche-Comté,Jura,Dole,39100,39198,200010650,CA du Grand Dole,,,,,,,galeriele36@gmail.com,2010 et après,2018,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39198_2022,"47.0755452538, 5.50062446099",
Festival Zik en Noue,Intercommunale,Bourgogne-Franche-Comté,Jura,Choisey,39100,39150,200010650,CA du Grand Dole,21,Rue,d’Amont,21 Rue d’Amont,,https://www.zikennoue.org/,festival.zikennoue@gmail . com,de 2000 à 2009,2008,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_39150_1631,"47.0588384803, 5.45057837104",
Les Nuits (Re)Belles,,Bourgogne-Franche-Comté,Jura,Brainans,39800,39073,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",,,,,,http://www.moulindebrainans.com/wp-content/uploads/2017/06/Depliant_LesNuitsReBelles4.pdf,,2010 et après,2014,Musique,,,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_39073_1020,"46.8746666632, 5.6278782462",2980
Festival de musique baroque du Jura,Départementale,Bourgogne-Franche-Comté,Jura,Saint-Claude,39200,39478,200026573,CC Haut-Jura Saint-Claude,10,Rue,Mercière,10 Rue Mercière,,http://www.festival-musique-baroque-jura.com/,sf.dionnet@orange.fr,De 1980 à 1989,1985,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_39478_5714,"46.408600398, 5.87556247635",
